# IDCODE    IR Length	Text
0140d093	6	XC3S50
01414093	6	XC3S200
0141c093	6	XC3S400
01428093	6	XC3S1000
01434093	6	XC3S1500
01440093	6	XC3S2000
01448093	6	XC3S4000
01450093	6	XC3S5000

01C10093        6       XC3S100E
01C1A093        6       XC3S250E
01C22093        6       XC3S500E
01C2E093        6       XC3S1200E
01C3A093        6       XC3S1600E

02210093        6       XC3S50A
02218093        6       XC3S200A
02220093        6       XC3S400A
02228093        6       XC3S700A
02230093        6       XC3S1400A

02610093        6       XC3S50AN
02618093        6       XC3S200AN
02620093        6       XC3S400AN
02628093        6       XC3S700AN
02630093        6       XC3S1400AN

03840093        6       XC3SD1800
0384E093        6       XC3SD3400

01008093	6	XC2V40
01010093	6	XC2V80
01018093	6	XC2V250
01020093	6	XC2V500
01028093	6	XC2V1000
01030093	6	XC2V1500
01038093	6	XC2V2000
01040093	6	XC2V3000
01050093	6	XC2V4000
01060093	6	XC2V6000
01070093	6	XC2V8000

05044093        8       XCF01S
05045093	8	XCF02S
05046093	8	XCF04S

00608093	5	XC2S15
0060c093	5	XC2S30
00610093	5	XC2S50
00614093	5	XC2S100
00618093	5	XC2S150
0061c093	5	XC2S200

#unsupported
#Virtex2
01020093        6      XC2V500
#XC95
09502093        8       XC9536
09504093        8       XC9572
09506093        8       XC95108
09508093        8       XC95144
09512093        8       XC95216
09516093        8       XC95288
#XC95XL
09602093        8       XC9536XL
09604093        8       XC9572XL
09608093        8       XC95144XL
09616093        8       XC95288XL
#XC95XV
09702093        8       XC9536XV
09704093        8       XC9572XV
09708093        8       XC95144XV
09716093        8       XC95288XV

#XC18
05024093        8       XC18V01
05025093        8       XC18V02
05026093        8       XC18V04
05023093        8       XC18V512

##Atmel
#list should not care for the version part
0970203f	4	ATmega128
0978103f	4	AT90CAN128
0960203f	4	ATmega64
0950103f	4	ATmega323
0950203f	4	ATmega32
0940303f	4	ATmega16
0940403f	4	ATmega162
0940503f	4	ATmega169

05b1703f        3       AT91SAM7X256

#Manufacturer list
00000093        99	Xilinx_Unknown
0000003f	99	Atmel_Unknown
